name,brand,notes,citrus,woody,fresh_spicy,sweet,fruity
Kilian Straight to Heaven Gold,Kilian,mint cashmeran peach,4,40,15,0,41
Montale Le Beau Cologne,Montale,papyrus sandalwood praline petitgrain cashmeran orange,23,29,4,40,4
Xerjoff La Nuit de L'Homme Elixir,Xerjoff,black_pepper ambergris black_cherry orange,42,18,16,6,18
Jean Paul Gaultier Black Orchid Cologne,Jean Paul Gaultier,oud oakmoss saffron apple pineapple tonka_bean cloves rosewood,2,20,16,51,11
Mancera Oud Wood Limited Edition,Mancera,bergamot rosewood sandalwood pear,37,31,1,3,28
Giorgio Armani One Million Intense,Giorgio Armani,oud chocolate cacao oakmoss bergamot mint lavender cashmeran,14,43,12,28,3
Chanel Alien Blanche,Chanel,vetiver cacao patchouli bergamot pineapple amberwood,29,34,3,23,11
Giorgio Armani Bleu Absolute,Giorgio Armani,honey bergamot sour_cherry licorice,22,4,10,31,33
Yves Saint Laurent Dylan Blue Eau de Parfum,Yves Saint Laurent,oakmoss papyrus mandarin oud,26,60,5,2,7
Mancera Eros Blanche,Mancera,ginger bergamot saffron licorice mandarin_orange black_cherry tonka_bean,50,8,11,14,17
Kilian Mojave Ghost Cologne,Kilian,grapefruit patchouli black_cherry amberwood agarwood,24,24,7,6,39
Creed Erba Pura Limited Edition,Creed,honey papyrus nutmeg chocolate oakmoss cumin rosewood,3,17,58,14,8
Parfums de Marly Stronger With You Extreme,Parfums de Marly,sandalwood praline apple cashmeran amberwood,8,42,9,22,19
Tom Ford The One Privé,Tom Ford,lemon oud ginger ambergris cashmeran,21,31,40,4,4
Bvlgari Bal dAfrique Parfum,Bvlgari,sage coconut chocolate,1,6,28,20,45
Tom Ford Eros Night,Tom Ford,ginger sichuan_pepper coconut apple petitgrain orange,28,4,50,7,11
Yves Saint Laurent Naxos Eau de Parfum,Yves Saint Laurent,cherry_liqueur bourbon_vanilla blackcurrant,6,4,6,19,65
Roja Parfums Tygar,Roja Parfums,pink_pepper cacao ginger birch ambroxan dried_fruits,2,35,21,13,29
Bvlgari Alexandria Privé,Bvlgari,patchouli bergamot apple pepper cloves,20,24,36,5,15
Jean Paul Gaultier Galloway Parfum,Jean Paul Gaultier,rosewood lemon praline,60,20,3,13,4
Creed Percival Blanche,Creed,coconut cinnamon,4,6,49,7,34
Creed Mojave Ghost Extreme,Creed,sour_cherry oud patchouli melon ambergris bourbon_vanilla mandarin lime caramel,39,23,4,21,13
Kilian Roses Vanille Blanche,Kilian,cacao praline mandarin blackcurrant neroli,42,9,7,21,21
Paco Rabanne Accento Cologne,Paco Rabanne,praline green_apple cherry_liqueur caramel rosewood,6,30,5,34,25
Xerjoff Aventus Eau de Parfum,Xerjoff,pink_pepper petitgrain ambergris lime,52,18,17,9,4
Giorgio Armani Straight to Heaven Noir,Giorgio Armani,vetiver wax coconut tonka_bean,5,33,1,49,12
Jean Paul Gaultier Gypsy Water Privé,Jean Paul Gaultier,cinnamon lemon neroli,20,8,64,4,4
Paco Rabanne Tygar Blanche,Paco Rabanne,cinnamon apple pepper cherry_liqueur caramel,5,2,29,31,33
Versace The One,Versace,ginger green_apple black_pepper licorice,0,10,11,47,32
Gucci Spicebomb Absolute,Gucci,bourbon_vanilla mandarin_orange saffron,31,7,36,26,0
Prada Grey Vetiver Gold,Prada,wax lime cacao,58,6,8,27,1
Chanel Accento Extreme,Chanel,bergamot ambergris petitgrain birch wax,17,56,5,22,0
Dolce & Gabbana Naxos Eau de Parfum,Dolce & Gabbana,blackberry mandarin mandarin_orange praline,32,9,0,47,12
Xerjoff Terre Privé,Xerjoff,patchouli bergamot praline cardamom mandarin_orange,27,33,18,18,4
Xerjoff Reflection Sport,Xerjoff,ginger ambergris mandarin_orange blackberry,15,41,27,3,14
Montale Black Phantom Intense,Montale,rosewood nutmeg peach cedarwood black_pepper pineapple ambroxan,10,50,23,1,16
Versace Alien Intense,Versace,papyrus oakmoss praline blackberry blackcurrant ambroxan,7,15,2,12,64
Chanel Roses Vanille Gold,Chanel,sichuan_pepper plum cinnamon,10,6,43,7,34
Tom Ford Terre Limited Edition,Tom Ford,black_cherry chocolate pepper licorice,3,8,31,14,44
Byredo Bleu Cologne,Byredo,papyrus peach patchouli ginger cardamom lime black_cherry,17,21,23,0,39
Kilian Intense Cafe Night,Kilian,cherry_liqueur cumin vanilla licorice,5,5,37,42,11
Paco Rabanne Cedrat Boise Gold,Paco Rabanne,honey pink_pepper lemon pepper caramel neroli,12,10,37,41,0
Tom Ford Black Opium Privé,Tom Ford,wax mandarin_orange tonka_bean,56,4,8,25,7
Giorgio Armani Invictus Privé,Giorgio Armani,vetiver grapefruit sandalwood cedarwood pineapple pepper,19,15,30,10,26
Chanel Santal 33 Blanche,Chanel,birch ambergris black_cherry amberwood,10,12,2,10,66
Gucci Ultra Male Sport,Gucci,honey sour_cherry papyrus green_apple mandarin wax,17,13,9,17,44
Jean Paul Gaultier Scandal Gold,Jean Paul Gaultier,sandalwood bergamot mandarin pepper,25,29,44,2,0
Tom Ford Light Blue Intense,Tom Ford,cacao patchouli cedar sandalwood pineapple caramel,5,23,6,52,14
Tom Ford By the Fireplace Privé,Tom Ford,mandarin_orange pineapple amberwood,20,21,9,0,50
Xerjoff Noir Extreme Noir,Xerjoff,grapefruit oakmoss ambergris wax caramel,11,61,6,19,3
Yves Saint Laurent The One Absolute,Yves Saint Laurent,cloves plum rosewood nutmeg,5,14,58,3,20
Dolce & Gabbana Tuscan Leather Sport,Dolce & Gabbana,honey sichuan_pepper wax cumin neroli,11,6,61,12,10
Jean Paul Gaultier One Million Limited Edition,Jean Paul Gaultier,sour_cherry papyrus apricot grapefruit lavender black_pepper mandarin_orange bourbon_vanilla ambroxan,24,24,27,12,13
Maison Margiela Fucking Fabulous Eau de Parfum,Maison Margiela,cardamom cinnamon mandarin_orange peach,46,2,29,2,21
Tom Ford Grey Vetiver Night,Tom Ford,lemon oud licorice caramel neroli,16,19,7,49,9
Dolce & Gabbana Intense Cafe Eau de Parfum,Dolce & Gabbana,bergamot coconut licorice pepper coffee,26,4,42,14,14
Bvlgari Black Orchid Sport,Bvlgari,cedarwood neroli licorice cedar,33,25,10,26,6
Hermes Eros Elixir,Hermes,chocolate sichuan_pepper ambergris cinnamon tonka_bean,7,17,24,43,9
Mancera Carlisle Absolute,Mancera,grapefruit tonka_bean sage caramel ambroxan,13,30,21,33,3
Xerjoff Code,Xerjoff,coffee birch vetiver pineapple,6,24,0,22,48
Jean Paul Gaultier Terre Limited Edition,Jean Paul Gaultier,honey vetiver lemon apricot patchouli oakmoss melon wax,38,21,6,11,24
Kilian Sauvage Parfum,Kilian,oud grapefruit oakmoss bergamot ginger cedarwood black_cherry cherry_liqueur,18,19,42,2,19
Gucci Alexandria Privé,Gucci,grapefruit patchouli bourbon_vanilla lime pineapple cherry_liqueur rosewood,12,28,4,13,43
Amouage Sauvage Cologne,Amouage,cashmeran orange licorice,11,11,7,68,3
Chanel Light Blue Intense,Chanel,honey vanilla bergamot lime black_cherry pepper cherry_liqueur,21,10,13,36,20
Hermes Reflection Sport,Hermes,papyrus cedar sandalwood cinnamon pineapple dried_fruits,0,12,45,10,33
Jean Paul Gaultier Jubilation Absolute,Jean Paul Gaultier,honey vetiver birch lime pepper,13,24,46,15,2
Byredo Spicebomb Absolute,Byredo,cloves mandarin orange tonka_bean,15,8,51,22,4
Montale Code Cologne,Montale,oud ambergris birch wax pepper coffee,10,42,22,21,5
Gucci Green Irish Tweed Privé,Gucci,plum oud peach cedar sandalwood pepper,3,19,35,6,37
Chanel Noir Extreme Cologne,Chanel,plum praline bourbon_vanilla sage neroli,17,9,23,40,11
Maison Margiela Fucking Fabulous Sport,Maison Margiela,pink_pepper sichuan_pepper vetiver mandarin,14,23,53,1,9
Gucci Straight to Heaven Eau de Parfum,Gucci,pink_pepper cedar birch black_pepper cashmeran black_cherry tonka_bean neroli,25,12,24,13,26
Maison Margiela Ultra Male Blanche,Maison Margiela,honey sour_cherry lemon oakmoss amberwood caramel,17,30,5,12,36
Montale One Million Limited Edition,Montale,ginger birch cashmeran black_cherry,4,13,24,4,55
Dolce & Gabbana Scandal,Dolce & Gabbana,papyrus sandalwood green_apple cardamom mandarin lime cashmeran black_cherry sage,20,42,13,1,24
Xerjoff Layton Cologne,Xerjoff,sichuan_pepper mandarin_orange grapefruit,62,6,23,7,2
Lancome Intense Cafe Cologne,Lancome,oud cacao sichuan_pepper cedar sandalwood,0,12,51,31,6
Parfums de Marly Mojave Ghost Blanche,Parfums de Marly,bergamot green_apple lime blackberry ambroxan,29,15,10,6,40
Kilian Coco Mademoiselle Parfum,Kilian,saffron lavender orange,44,3,40,5,8
Versace Naxos Eau de Parfum,Versace,patchouli sichuan_pepper coffee sage ambroxan,5,44,31,18,2
Byredo Accento Gold,Byredo,sour_cherry apricot patchouli mint licorice bourbon_vanilla pepper rosewood,3,21,30,31,15
Maison Margiela Le Male Parfum,Maison Margiela,cacao oakmoss sandalwood bourbon_vanilla pear neroli,35,14,3,32,16
Jean Paul Gaultier Aventus Absolute,Jean Paul Gaultier,lemon oud nutmeg vanilla bergamot cedarwood cloves ambroxan,11,19,30,32,8
Xerjoff Light Blue Limited Edition,Xerjoff,apricot ambergris licorice tonka_bean neroli,24,40,3,13,20
Bvlgari Erba Pura Eau de Parfum,Bvlgari,peach mint petitgrain cedarwood lavender,11,26,19,9,35
Amouage Tuscan Leather Cologne,Amouage,nutmeg melon mandarin pineapple sage neroli,15,10,36,10,29
Roja Parfums Pegasus Parfum,Roja Parfums,bergamot vetiver apricot,54,13,8,3,22
Parfums de Marly Invictus Eau de Parfum,Parfums de Marly,cedar black_cherry pineapple cacao,7,15,3,43,32
Montale Love Dont Be Shy Noir,Montale,papyrus tonka_bean,3,51,3,38,5
Xerjoff Green Irish Tweed Cologne,Xerjoff,vetiver lemon sandalwood licorice petitgrain,24,45,3,18,10
Tom Ford Galloway Gold,Tom Ford,sichuan_pepper cedar birch lavender lime neroli,15,29,43,4,9
Maison Margiela Fucking Fabulous Limited Edition,Maison Margiela,cedar sandalwood pear lime cherry_liqueur orange,35,47,0,7,11
Xerjoff Herod Limited Edition,Xerjoff,vetiver oud cinnamon petitgrain ambroxan neroli,37,45,13,4,1
Versace Hypnotic Poison Extreme,Versace,sage lavender bourbon_vanilla tonka_bean,10,4,15,63,8
Mancera Straight to Heaven Gold,Mancera,papyrus peach patchouli coconut sandalwood cumin caramel neroli,18,28,17,24,13
Yves Saint Laurent Alexandria Parfum,Yves Saint Laurent,plum cinnamon mandarin_orange saffron,22,3,62,2,11
Byredo Galloway Intense,Byredo,lemon sichuan_pepper ambergris mandarin_orange pepper rosewood,41,33,20,4,2
Prada Tobacco Vanille Extreme,Prada,papyrus grapefruit patchouli vanilla cedar caramel,15,26,5,52,2
Giorgio Armani Layton Absolute,Giorgio Armani,lemon apple mandarin pear amberwood,15,24,4,0,57
Tom Ford Sedley Absolute,Tom Ford,caramel black_pepper apricot,9,3,42,33,13
Lancome Alien Night,Lancome,cherry_liqueur cumin,8,3,53,8,28
Byredo Y Le Parfum Privé,Byredo,caramel lemon cacao,38,3,4,46,9
Tom Ford Gypsy Water Cologne,Tom Ford,patchouli ginger melon praline licorice birch lavender,9,25,13,22,31
Hermes Libre Elixir,Hermes,oud chocolate oakmoss sandalwood bourbon_vanilla,3,55,10,26,6
Jean Paul Gaultier Galloway Noir,Jean Paul Gaultier,ginger cardamom ambergris blackcurrant,6,28,27,4,35
Maison Margiela Neroli Portofino Gold,Maison Margiela,praline black_pepper grapefruit,40,3,23,24,10
Xerjoff Intense Cafe Night,Xerjoff,coffee cardamom rosewood mandarin,26,16,29,24,5
Dior Herod Intense,Dior,apple petitgrain sour_cherry,42,5,3,6,44
Gucci Angels Share Elixir,Gucci,mandarin_orange coconut lemon,13,4,3,0,80
Xerjoff Oajan Intense,Xerjoff,licorice apple pear lime pepper coffee cloves,36,5,19,27,13
Tom Ford Tygar Elixir,Tom Ford,vetiver cacao grapefruit ambergris bourbon_vanilla ambroxan dried_fruits,19,29,4,36,12
Roja Parfums Black Opium Sport,Roja Parfums,ambroxan cinnamon saffron,5,16,70,1,8
Mancera Hypnotic Poison Parfum,Mancera,pink_pepper vanilla bergamot lavender bourbon_vanilla orange,25,4,31,33,7
Roja Parfums Naxos Sport,Roja Parfums,sichuan_pepper cashmeran wax ambroxan neroli agarwood,16,24,15,41,4
Montale Stronger With You Gold,Montale,sour_cherry caramel cumin dried_fruits,4,5,11,12,68
Tom Ford Roses Vanille Absolute,Tom Ford,ginger petitgrain tonka_bean praline,34,3,30,32,1
Roja Parfums By the Fireplace Parfum,Roja Parfums,oud saffron praline,0,32,40,25,3
Yves Saint Laurent Love Dont Be Shy Extreme,Yves Saint Laurent,caramel neroli black_cherry,18,9,8,27,38
Mancera Le Male Parfum,Mancera,sour_cherry ambergris licorice green_apple wax mandarin_orange,21,29,5,11,34
Giorgio Armani Eros Noir,Giorgio Armani,caramel bourbon_vanilla cinnamon grapefruit,31,2,22,44,1
Gucci Alien,Gucci,vetiver pink_pepper oud melon cedarwood bourbon_vanilla mandarin_orange sage caramel dried_fruits,12,18,12,38,20
Tom Ford Silver Mountain Water Parfum,Tom Ford,cacao peach,6,8,8,66,12
Bvlgari Ultra Male Elixir,Bvlgari,cherry_liqueur sage plum mandarin,55,5,13,5,22
Creed Accento Parfum,Creed,patchouli cedarwood pear,9,30,1,7,53
Montale Fucking Fabulous Parfum,Montale,patchouli bourbon_vanilla amberwood cloves caramel neroli,11,15,22,45,7
Mancera Noir Extreme Night,Mancera,cinnamon saffron licorice bourbon_vanilla amberwood,8,16,16,55,5
Maison Margiela La Vie Est Belle Gold,Maison Margiela,papyrus chocolate vanilla bergamot mint saffron pear pineapple,12,26,20,12,30
Dolce & Gabbana Good Girl Blanche,Dolce & Gabbana,vanilla ginger black_cherry amberwood dried_fruits orange,33,13,11,17,26
Jean Paul Gaultier Tuscan Leather Noir,Jean Paul Gaultier,apricot apple tonka_bean caramel orange,21,5,9,41,24
Mancera Stronger With You Sport,Mancera,petitgrain ambergris cashmeran,25,64,8,1,2
Montale Invictus Absolute,Montale,papyrus apricot grapefruit birch lime pineapple,13,47,0,10,30
Tom Ford The One,Tom Ford,papyrus melon cedar praline petitgrain cardamom blackberry,16,20,11,24,29
Lancome Mojave Ghost Eau de Parfum,Lancome,licorice lime pineapple coffee agarwood,43,15,7,15,20
Montale Straight to Heaven,Montale,ginger ambroxan mandarin_orange cumin,19,56,13,3,9
Roja Parfums Interlude Intense,Roja Parfums,honey vanilla mandarin_orange amberwood neroli,50,12,2,34,2
Dolce & Gabbana Noir Extreme,Dolce & Gabbana,nutmeg grapefruit pineapple tonka_bean coffee,25,2,19,43,11
Dolce & Gabbana Accento Blanche,Dolce & Gabbana,sour_cherry vetiver chocolate coconut wax amberwood,5,18,4,15,58
Yves Saint Laurent One Million Night,Yves Saint Laurent,sour_cherry vanilla sichuan_pepper dried_fruits coffee rosewood neroli,12,42,16,15,15
Chanel Silver Mountain Water Extreme,Chanel,chocolate saffron tonka_bean pepper amberwood,5,36,12,39,8
Giorgio Armani Oud Wood Parfum,Giorgio Armani,grapefruit mandarin_orange black_cherry dried_fruits agarwood,33,54,2,0,11
Parfums de Marly Eros Sport,Parfums de Marly,sichuan_pepper lavender oud amberwood,9,68,12,7,4
Lancome Sedley Intense,Lancome,cacao peach amberwood agarwood,6,35,0,16,43
Bvlgari Gyan Sport,Bvlgari,cashmeran ambroxan lime papyrus,54,29,10,4,3
Jean Paul Gaultier Bleu Absolute,Jean Paul Gaultier,coffee lavender lemon,11,8,33,45,3
Creed Stronger With You Cologne,Creed,sour_cherry mint birch mandarin blackcurrant,13,13,28,8,38
Bvlgari Jubilation Privé,Bvlgari,honey plum pink_pepper black_pepper lime neroli,32,10,12,27,19
Dior Kobraa Intense,Dior,ginger cacao honey saffron,8,3,12,70,7
Amouage Dylan Blue Absolute,Amouage,vetiver plum praline wax cashmeran cherry_liqueur ambroxan,4,56,7,22,11
Versace Erba Pura Elixir,Versace,cherry_liqueur lavender,5,3,66,2,24
Xerjoff Silver Mountain Water Parfum,Xerjoff,vetiver nutmeg chocolate cacao cedar sage,4,28,44,18,6
Xerjoff Fucking Fabulous Eau de Parfum,Xerjoff,cherry_liqueur bergamot mandarin sage,67,4,13,2,14
Amouage Galloway Night,Amouage,sour_cherry oud vanilla pineapple rosewood,7,11,1,18,63
Parfums de Marly Dylan Blue Night,Parfums de Marly,honey papyrus chocolate cumin rosewood dried_fruits,2,26,15,17,40
Prada Pegasus Night,Prada,green_apple lemon lime,41,7,7,8,37
Gucci Alien Parfum,Gucci,honey cacao cardamom blackberry pineapple,6,3,52,25,14
