name,brand,notes,citrus,woody,fresh_spicy,sweet,fruity
Versace Oud Noir Elixir,Versace,rosewood oud sandalwood,3,77,10,10,0
Versace Oud Noir Cologne,Versace,ambergris vetiver petitgrain,14,68,6,12,0
Versace Oud Noir Limited Edition,Versace,ambroxan bergamot mandarin saffron cardamom,13,60,19,8,0
Versace Blue Jeans,Versace,mandarin pepper ambergris grapefruit,61,15,16,0,8
Versace Blue Jeans Intense,Versace,mandarin oakmoss oud lemon fig amberwood,53,22,11,0,14
Versace Blue Jeans Parfum,Versace,cedarwood orange petitgrain patchouli amberwood,56,33,6,0,5
Versace Blue Jeans Eau de Parfum,Versace,mandarin oud lemon agarwood,61,24,7,0,8
Versace Blue Jeans Extreme,Versace,nutmeg mandarin orange oakmoss blackberry cloves,56,13,18,0,13
Versace Blue Jeans Elixir,Versace,ambroxan bergamot neroli sage vetiver ambergris,49,28,19,0,4
Versace Blue Jeans Cologne,Versace,orange lemon,74,12,6,0,8
Versace Blue Jeans Limited Edition,Versace,papyrus cedarwood orange yuzu,64,21,6,0,9
Versace Bright Crystal,Versace,mandarin petitgrain dried_fruits amberwood benzoin vetiver licorice,16,28,9,29,18
Versace Bright Crystal Intense,Versace,cedar petitgrain cinnamon dried_fruits neroli sage,28,27,18,0,27
Versace Bright Crystal Parfum,Versace,ginger caramel petitgrain grapefruit,21,12,25,34,8
Versace Bright Crystal Eau de Parfum,Versace,ambergris orange amberwood oakmoss,54,25,12,0,9
Versace Bright Crystal Extreme,Versace,vetiver lime,36,56,6,2,0
Versace Bright Crystal Elixir,Versace,pepper oud vetiver licorice cloves ambergris,0,14,49,26,11
Versace Bright Crystal Cologne,Versace,cinnamon honey amber,12,5,16,64,3
Versace Bright Crystal Limited Edition,Versace,yuzu amber amberwood praline neroli,21,31,2,42,4
Versace Eros Flame,Versace,bergamot yuzu sour_cherry pink_pepper saffron cedar apple vanilla mint,37,4,24,6,29
Versace Eros Flame Intense,Versace,ambroxan birch lemon cedar lime apple rosewood plum vanilla mint,20,24,8,2,46
Versace Eros Flame Parfum,Versace,yuzu sour_cherry birch cedar apple dried_fruits vanilla benzoin mint caramel,35,23,7,20,15
Versace Eros Flame Eau de Parfum,Versace,mint mandarin cedar apple vanilla vetiver,72,15,6,0,7
Versace Eros Flame Extreme,Versace,nutmeg bergamot tonka_bean pepper cedar lime apple vanilla raspberry mint,31,12,13,14,30
Versace Eros Flame Elixir,Versace,yuzu cedarwood cedar apple patchouli vanilla grapefruit cinnamon mint,44,32,14,7,3
Versace Eros Flame Cologne,Versace,raspberry sour_cherry cedar petitgrain apple vanilla neroli mint,50,7,2,3,38
Versace Eros Flame Limited Edition,Versace,cedar apple melon vanilla blackberry honey mint,1,7,4,38,50
Xerjoff Naxos,Xerjoff,tobacco_leaf yuzu lavender orange vanilla honey caramel,66,2,7,22,3
Xerjoff Naxos Intense,Xerjoff,tobacco_leaf lavender cedarwood cedar vanilla honey agarwood,5,74,10,8,3
Xerjoff Naxos Parfum,Xerjoff,tobacco_leaf pear cacao cedarwood petitgrain vanilla honey coconut lavender,16,40,0,30,14
Xerjoff Naxos Eau de Parfum,Xerjoff,tobacco_leaf bergamot pink_pepper vanilla honey lavender,69,10,16,0,5
Xerjoff Naxos Extreme,Xerjoff,tobacco_leaf lavender sour_cherry oud sandalwood honey vanilla cardamom peach praline sage vetiver caramel,4,29,20,20,27
Xerjoff Naxos Elixir,Xerjoff,tobacco_leaf tonka_bean pear cacao rosewood vanilla honey lavender,4,50,1,24,21
Xerjoff Naxos Cologne,Xerjoff,tobacco_leaf birch patchouli vanilla amberwood honey lavender,12,64,4,8,12
Xerjoff Naxos Limited Edition,Xerjoff,tobacco_leaf lavender pink_pepper saffron vanilla honey coconut caramel,5,5,45,14,31
Xerjoff Erba Pura,Xerjoff,tonka_bean black_cherry lemon dried_fruits caramel,15,0,6,34,62
Xerjoff Erba Pura Intense,Xerjoff,cacao bergamot plum,23,0,5,28,61
Xerjoff Erba Pura Parfum,Xerjoff,apricot vanilla black_cherry,12,0,11,26,64
Xerjoff Erba Pura Eau de Parfum,Xerjoff,cedarwood oakmoss cacao black_cherry petitgrain amber ambergris,15,15,0,19,51
Xerjoff Erba Pura Extreme,Xerjoff,nutmeg orange cherry_liqueur honey benzoin,23,0,14,28,59
Xerjoff Erba Pura Elixir,Xerjoff,apple coffee,11,0,8,28,61
Xerjoff Erba Pura Cologne,Xerjoff,cacao melon grapefruit,17,9,0,22,52
Xerjoff Erba Pura Limited Edition,Xerjoff,honey cherry_liqueur grapefruit,15,0,8,32,56
Xerjoff Alexandria II,Xerjoff,plum birch fig,7,61,11,1,20
Xerjoff Alexandria II Intense,Xerjoff,praline birch yuzu lime,23,35,0,37,5
Xerjoff Alexandria II Parfum,Xerjoff,black_pepper amber petitgrain apple coconut,13,9,17,45,16
Xerjoff Alexandria II Eau de Parfum,Xerjoff,cedarwood oud grapefruit lime,51,37,8,0,4
Xerjoff Alexandria II Extreme,Xerjoff,black_cherry lavender,1,4,45,3,47
Xerjoff Alexandria II Elixir,Xerjoff,apple amberwood ambergris,1,22,3,0,74
Xerjoff Alexandria II Cologne,Xerjoff,black_pepper orange neroli licorice cloves,33,7,29,25,6
Xerjoff Alexandria II Limited Edition,Xerjoff,sage oakmoss cloves sandalwood,0,50,40,9,1
Xerjoff Lira,Xerjoff,tonka_bean pepper dried_fruits coconut coffee,3,2,59,20,16
Xerjoff Lira Intense,Xerjoff,cacao saffron peach grapefruit coconut cloves,24,6,25,26,19
Xerjoff Lira Parfum,Xerjoff,blackcurrant sour_cherry amber cardamom licorice,9,6,15,57,13
Xerjoff Lira Eau de Parfum,Xerjoff,mandarin amberwood,66,24,10,0,0
Xerjoff Lira Extreme,Xerjoff,honey pear melon yuzu,36,9,6,35,14
Xerjoff Lira Elixir,Xerjoff,ginger cherry_liqueur patchouli rosewood blackberry vetiver cloves,11,49,15,2,23
Xerjoff Lira Cologne,Xerjoff,ambroxan yuzu mandarin chocolate papyrus lavender ambergris,20,35,29,14,2
Xerjoff Lira Limited Edition,Xerjoff,sandalwood apple plum cinnamon benzoin licorice,6,28,20,20,26
Xerjoff Accento,Xerjoff,pepper mandarin lime vanilla cardamom chocolate,53,9,23,14,1
Xerjoff Accento Intense,Xerjoff,sour_cherry ambroxan papyrus cedar,6,22,8,1,63
Xerjoff Accento Parfum,Xerjoff,yuzu sour_cherry cashmeran saffron patchouli papyrus,18,24,24,5,29
Xerjoff Accento Eau de Parfum,Xerjoff,cashmeran patchouli bergamot yuzu,61,29,7,0,3
Xerjoff Accento Extreme,Xerjoff,mandarin vanilla saffron,51,2,25,19,3
Xerjoff Accento Elixir,Xerjoff,blackcurrant saffron lime,28,12,36,8,16
Xerjoff Accento Cologne,Xerjoff,lemon yuzu fig,55,12,9,0,24
Xerjoff Accento Limited Edition,Xerjoff,oakmoss lemon black_pepper,19,50,16,5,10
Xerjoff Mefisto,Xerjoff,apricot oakmoss bergamot saffron,18,23,30,4,25
Xerjoff Mefisto Intense,Xerjoff,orange petitgrain fig apricot cinnamon licorice cloves caramel,37,5,25,20,13
Xerjoff Mefisto Parfum,Xerjoff,mandarin pineapple agarwood yuzu,26,25,5,12,32
Xerjoff Mefisto Eau de Parfum,Xerjoff,yuzu,67,12,11,0,10
Xerjoff Mefisto Extreme,Xerjoff,ambroxan saffron honey amberwood praline agarwood,2,25,28,33,12
Xerjoff Mefisto Elixir,Xerjoff,praline blackcurrant black_cherry agarwood,6,27,2,15,50
Xerjoff Mefisto Cologne,Xerjoff,praline pear licorice cloves,8,3,19,41,29
Xerjoff Mefisto Limited Edition,Xerjoff,pepper ginger cedarwood oakmoss sandalwood lemon,32,18,28,10,12
Xerjoff Renaissance,Xerjoff,nutmeg pepper amber patchouli grapefruit licorice,17,37,27,18,1
Xerjoff Renaissance Intense,Xerjoff,oud bergamot tonka_bean yuzu,19,33,5,37,6
Xerjoff Renaissance Parfum,Xerjoff,cacao peach fig,8,12,12,42,26
Xerjoff Renaissance Eau de Parfum,Xerjoff,bergamot amberwood pepper,51,35,14,0,0
Xerjoff Renaissance Extreme,Xerjoff,pineapple rosewood amberwood grapefruit papyrus,43,15,1,9,32
Xerjoff Renaissance Elixir,Xerjoff,mandarin oud benzoin vetiver papyrus coconut,22,15,0,33,30
Xerjoff Renaissance Cologne,Xerjoff,bergamot sour_cherry oud cherry_liqueur amberwood grapefruit papyrus caramel coffee,26,32,4,19,19
Xerjoff Renaissance Limited Edition,Xerjoff,ambroxan bergamot black_pepper yuzu oakmoss sandalwood vanilla chocolate,18,38,14,28,2
Xerjoff Uden,Xerjoff,nutmeg saffron licorice agarwood coffee,1,30,35,30,4
Xerjoff Uden Intense,Xerjoff,pink_pepper oakmoss lime grapefruit ambergris,30,32,26,8,4
Xerjoff Uden Parfum,Xerjoff,cacao orange tonka_bean fig,24,3,5,49,19
Xerjoff Uden Eau de Parfum,Xerjoff,rosewood birch cedar grapefruit,55,38,6,0,1
Xerjoff Uden Extreme,Xerjoff,praline vanilla,8,10,7,72,3
Xerjoff Uden Elixir,Xerjoff,bergamot cedarwood lime patchouli rosewood benzoin coconut caramel,19,42,3,20,16
Xerjoff Uden Cologne,Xerjoff,apricot black_pepper,3,6,68,4,19
Xerjoff Uden Limited Edition,Xerjoff,cherry_liqueur fig neroli licorice caramel,33,12,1,16,38
Xerjoff Bouquet Ideale,Xerjoff,tonka_bean ginger apple melon benzoin,5,8,57,15,15
Xerjoff Bouquet Ideale Intense,Xerjoff,peach coffee amber,4,10,11,28,47
Xerjoff Bouquet Ideale Parfum,Xerjoff,black_cherry cashmeran vanilla coconut cloves agarwood,5,21,31,20,23
Xerjoff Bouquet Ideale Eau de Parfum,Xerjoff,ambroxan orange oakmoss,60,17,12,0,11
Xerjoff Bouquet Ideale Extreme,Xerjoff,lemon cherry_liqueur lime,50,4,0,8,38
Xerjoff Bouquet Ideale Elixir,Xerjoff,benzoin mint orange cardamom,13,5,22,58,2
Xerjoff Bouquet Ideale Cologne,Xerjoff,sage black_pepper,12,5,78,4,1
Xerjoff Bouquet Ideale Limited Edition,Xerjoff,pepper cedarwood sandalwood lemon lime saffron patchouli,33,33,17,6,11
Xerjoff Komi,Xerjoff,ambroxan pear cashmeran apple vanilla,2,35,7,42,14
Xerjoff Komi Intense,Xerjoff,cherry_liqueur black_cherry yuzu petitgrain,46,2,6,9,37
Xerjoff Komi Parfum,Xerjoff,mint vanilla agarwood amber,2,28,31,28,11
Xerjoff Komi Eau de Parfum,Xerjoff,papyrus agarwood yuzu,48,39,5,0,8
Xerjoff Komi Extreme,Xerjoff,cinnamon petitgrain lavender grapefruit,60,6,21,5,8
Xerjoff Komi Elixir,Xerjoff,lavender coffee pepper,4,2,30,62,2
Xerjoff Komi Cologne,Xerjoff,mandarin oud caramel honey,57,14,5,19,5
Xerjoff Komi Limited Edition,Xerjoff,nutmeg yuzu cedar mint agarwood,21,40,25,7,7
Xerjoff Cruz del Sur,Xerjoff,cedarwood cedar plum dried_fruits papyrus,7,37,5,2,49
Xerjoff Cruz del Sur Intense,Xerjoff,yuzu pink_pepper cacao apricot raspberry chocolate,24,4,35,15,22
Xerjoff Cruz del Sur Parfum,Xerjoff,pineapple ambroxan oakmoss black_pepper,3,23,43,1,30
Xerjoff Cruz del Sur Eau de Parfum,Xerjoff,mandarin sandalwood cedar lime cardamom papyrus,48,32,17,0,3
Xerjoff Cruz del Sur Extreme,Xerjoff,bergamot amber,26,11,8,55,0
Xerjoff Cruz del Sur Elixir,Xerjoff,raspberry fig,1,11,1,3,84
Xerjoff Cruz del Sur Cologne,Xerjoff,nutmeg cedarwood black_cherry cedar petitgrain mint coconut,33,18,20,7,22
Xerjoff Cruz del Sur Limited Edition,Xerjoff,cedarwood oakmoss sandalwood coconut,2,54,11,2,31
Xerjoff Tony Iommi Monkey Special,Xerjoff,ambroxan oakmoss pineapple sandalwood apricot,11,62,6,2,19
Xerjoff Tony Iommi Monkey Special Intense,Xerjoff,cacao oakmoss petitgrain lime vanilla,19,34,11,35,1
Xerjoff Tony Iommi Monkey Special Parfum,Xerjoff,yuzu fig petitgrain rosewood papyrus,28,23,8,9,32
Xerjoff Tony Iommi Monkey Special Eau de Parfum,Xerjoff,bergamot yuzu oud cashmeran cedar,54,26,9,0,11
Xerjoff Tony Iommi Monkey Special Extreme,Xerjoff,neroli rosewood birch yuzu,45,36,4,11,4
Xerjoff Tony Iommi Monkey Special Elixir,Xerjoff,orange oud oakmoss cedar petitgrain honey,27,27,5,29,12
Xerjoff Tony Iommi Monkey Special Cologne,Xerjoff,sour_cherry melon caramel,4,5,9,35,47
Xerjoff Tony Iommi Monkey Special Limited Edition,Xerjoff,pineapple caramel chocolate saffron,2,2,40,37,19
Parfums de Marly Layton,Parfums de Marly,yuzu fig,25,6,7,7,55
Parfums de Marly Layton Intense,Parfums de Marly,mandarin pepper petitgrain,74,5,14,6,1
Parfums de Marly Layton Parfum,Parfums de Marly,birch sandalwood lemon blackberry papyrus chocolate,26,28,5,18,23
Parfums de Marly Layton Eau de Parfum,Parfums de Marly,ginger birch oakmoss lime petitgrain sage,47,35,18,0,0
Parfums de Marly Layton Extreme,Parfums de Marly,bergamot black_cherry amber cardamom neroli,29,6,21,24,20
Parfums de Marly Layton Elixir,Parfums de Marly,pineapple peach petitgrain,33,4,10,9,44
Parfums de Marly Layton Cologne,Parfums de Marly,nutmeg bergamot cloves lime,50,12,19,11,8
Parfums de Marly Layton Limited Edition,Parfums de Marly,melon licorice blackberry,2,8,8,36,46
Parfums de Marly Herod,Parfums de Marly,licorice oakmoss apricot cashmeran,1,20,4,44,31
Parfums de Marly Herod Intense,Parfums de Marly,pepper ginger lemon cashmeran fig grapefruit raspberry agarwood ambergris,27,19,17,6,31
Parfums de Marly Herod Parfum,Parfums de Marly,mandarin apricot plum,25,6,7,1,61
Parfums de Marly Herod Eau de Parfum,Parfums de Marly,mandarin pink_pepper,67,11,17,0,5
Parfums de Marly Herod Extreme,Parfums de Marly,caramel agarwood birch pineapple fig amberwood chocolate,9,31,2,18,40
Parfums de Marly Herod Elixir,Parfums de Marly,birch oakmoss lemon petitgrain,53,36,1,8,2
Parfums de Marly Herod Cologne,Parfums de Marly,sour_cherry apple sandalwood,3,29,3,1,64
Parfums de Marly Herod Limited Edition,Parfums de Marly,ambroxan nutmeg mandarin pear dried_fruits neroli,15,18,25,5,37
Parfums de Marly Oajan,Parfums de Marly,cacao oakmoss lemon cardamom cinnamon benzoin,33,32,13,22,0
Parfums de Marly Oajan Intense,Parfums de Marly,ginger benzoin coffee petitgrain,41,10,13,29,7
Parfums de Marly Oajan Parfum,Parfums de Marly,ambroxan vetiver tonka_bean petitgrain,40,20,12,28,0
Parfums de Marly Oajan Eau de Parfum,Parfums de Marly,bergamot mandarin cedarwood oud mint,58,21,18,0,3
Parfums de Marly Oajan Extreme,Parfums de Marly,mandarin pink_pepper black_cherry pineapple lemon,23,8,46,10,13
Parfums de Marly Oajan Elixir,Parfums de Marly,peach pink_pepper yuzu blackberry,32,8,34,1,25
Parfums de Marly Oajan Cologne,Parfums de Marly,yuzu ginger petitgrain rosewood mint,37,43,15,1,4
Parfums de Marly Oajan Limited Edition,Parfums de Marly,ambroxan mandarin birch petitgrain coconut,35,34,9,5,17
Parfums de Marly Greenley,Parfums de Marly,cinnamon cardamom,1,4,87,6,2
Parfums de Marly Greenley Intense,Parfums de Marly,yuzu ginger cedarwood cashmeran lime vanilla cinnamon,33,34,15,14,4
Parfums de Marly Greenley Parfum,Parfums de Marly,sour_cherry bergamot saffron grapefruit,55,10,15,1,19
Parfums de Marly Greenley Eau de Parfum,Parfums de Marly,ambroxan bergamot ginger rosewood sage,57,26,17,0,0
Parfums de Marly Greenley Extreme,Parfums de Marly,lemon grapefruit,83,2,3,5,7
Parfums de Marly Greenley Elixir,Parfums de Marly,cedarwood orange praline licorice ambergris,16,50,6,21,7
Parfums de Marly Greenley Cologne,Parfums de Marly,blackcurrant orange apple cardamom sage,15,7,48,2,28
Parfums de Marly Greenley Limited Edition,Parfums de Marly,mint cedar cashmeran,9,20,55,10,6
Parfums de Marly Sedley,Parfums de Marly,mandarin sour_cherry orange oud cashmeran melon benzoin agarwood,19,13,2,51,15
Parfums de Marly Sedley Intense,Parfums de Marly,mandarin sage birch cloves,25,19,34,10,12
Parfums de Marly Sedley Parfum,Parfums de Marly,black_pepper pink_pepper lime benzoin chocolate,19,6,28,44,3
Parfums de Marly Sedley Eau de Parfum,Parfums de Marly,mandarin birch cardamom amberwood papyrus cloves,66,17,15,0,2
Parfums de Marly Sedley Extreme,Parfums de Marly,pear cedar cashmeran honey mint licorice ambergris,3,26,21,19,31
Parfums de Marly Sedley Elixir,Parfums de Marly,cinnamon lavender,6,6,81,2,5
Parfums de Marly Sedley Cologne,Parfums de Marly,saffron lime petitgrain blackberry coconut,30,2,17,3,48
Parfums de Marly Sedley Limited Edition,Parfums de Marly,tonka_bean cacao birch black_cherry sandalwood cashmeran cloves,1,21,16,39,23
Parfums de Marly Percival,Parfums de Marly,orange oud lemon amberwood honey caramel,15,35,7,37,6
Parfums de Marly Percival Intense,Parfums de Marly,cacao birch oud cherry_liqueur amberwood praline,8,23,5,13,51
Parfums de Marly Percival Parfum,Parfums de Marly,rosewood oud yuzu,51,36,8,3,2
Parfums de Marly Percival Eau de Parfum,Parfums de Marly,neroli dried_fruits bergamot pineapple,70,6,10,0,14
Parfums de Marly Percival Extreme,Parfums de Marly,apricot rosewood ambergris,2,57,8,11,22
Parfums de Marly Percival Elixir,Parfums de Marly,sage,1,5,81,9,4
Parfums de Marly Percival Cologne,Parfums de Marly,mandarin mint melon plum,26,9,26,8,31
Parfums de Marly Percival Limited Edition,Parfums de Marly,apricot vetiver oud,7,50,7,10,26
Parfums de Marly Pegasus,Parfums de Marly,cinnamon black_pepper petitgrain,46,4,34,11,5
Parfums de Marly Pegasus Intense,Parfums de Marly,ginger fig cinnamon neroli licorice coffee,38,11,19,16,16
Parfums de Marly Pegasus Parfum,Parfums de Marly,pepper rosewood melon blackberry vetiver lavender,4,40,32,11,13
Parfums de Marly Pegasus Eau de Parfum,Parfums de Marly,mandarin ginger bergamot cardamom,70,9,13,0,8
Parfums de Marly Pegasus Extreme,Parfums de Marly,cinnamon yuzu,24,10,50,7,9
Parfums de Marly Pegasus Elixir,Parfums de Marly,orange chocolate yuzu,52,12,12,22,2
Parfums de Marly Pegasus Cologne,Parfums de Marly,lavender patchouli vanilla cloves agarwood,9,30,15,37,9
Parfums de Marly Pegasus Limited Edition,Parfums de Marly,blackcurrant birch cloves cardamom,4,28,26,2,40
Parfums de Marly Carlisle,Parfums de Marly,cedarwood birch lemon rosewood grapefruit,44,36,2,8,10
Parfums de Marly Carlisle Intense,Parfums de Marly,orange petitgrain vanilla benzoin papyrus,50,26,10,13,1
Parfums de Marly Carlisle Parfum,Parfums de Marly,praline vanilla raspberry,8,6,0,33,53
Parfums de Marly Carlisle Eau de Parfum,Parfums de Marly,birch lime rosewood neroli ambergris,71,13,10,0,6
Parfums de Marly Carlisle Extreme,Parfums de Marly,cinnamon orange,15,10,61,5,9
Parfums de Marly Carlisle Elixir,Parfums de Marly,bergamot cardamom,33,6,43,7,11
Parfums de Marly Carlisle Cologne,Parfums de Marly,pepper pink_pepper lemon cedar melon peach neroli vetiver,19,19,38,3,21
Parfums de Marly Carlisle Limited Edition,Parfums de Marly,tonka_bean mandarin saffron apricot coffee,17,12,42,15,14
Parfums de Marly Galloway,Parfums de Marly,sage orange cloves pineapple,29,9,18,9,35
Parfums de Marly Galloway Intense,Parfums de Marly,vanilla dried_fruits cardamom peach mint,1,2,69,14,14
Parfums de Marly Galloway Parfum,Parfums de Marly,sandalwood cedar cherry_liqueur apricot benzoin agarwood,5,34,5,36,20
Parfums de Marly Galloway Eau de Parfum,Parfums de Marly,mandarin oud cedar,59,18,11,0,12
Parfums de Marly Galloway Extreme,Parfums de Marly,black_cherry cedar melon amberwood agarwood,7,52,6,2,33
Parfums de Marly Galloway Elixir,Parfums de Marly,ginger vanilla cloves honey,12,7,43,33,5
Parfums de Marly Galloway Cologne,Parfums de Marly,tonka_bean mandarin pear apricot neroli,40,5,12,21,22
Parfums de Marly Galloway Limited Edition,Parfums de Marly,neroli honey,67,3,6,17,7
Parfums de Marly Haltane,Parfums de Marly,pink_pepper grapefruit benzoin mint chocolate,25,6,17,41,11
Parfums de Marly Haltane Intense,Parfums de Marly,mandarin apple melon papyrus lavender,13,29,31,9,18
Parfums de Marly Haltane Parfum,Parfums de Marly,birch rosewood papyrus tonka_bean,5,14,3,76,2
Parfums de Marly Haltane Eau de Parfum,Parfums de Marly,birch bergamot yuzu,59,33,5,0,3
Parfums de Marly Haltane Extreme,Parfums de Marly,cedarwood birch melon coconut caramel,10,29,2,16,43
Parfums de Marly Haltane Elixir,Parfums de Marly,sage pineapple dried_fruits cardamom,1,9,14,4,72
Parfums de Marly Haltane Cologne,Parfums de Marly,ambroxan blackcurrant orange petitgrain ambergris,13,62,11,1,13
Parfums de Marly Haltane Limited Edition,Parfums de Marly,tonka_bean sandalwood lemon petitgrain cardamom licorice,15,30,26,20,9
Parfums de Marly Delina,Parfums de Marly,mint amber cashmeran pepper,2,43,21,29,5
Parfums de Marly Delina Intense,Parfums de Marly,neroli pear,64,8,12,1,15
Parfums de Marly Delina Parfum,Parfums de Marly,nutmeg black_pepper orange peach neroli,18,12,41,8,21
Parfums de Marly Delina Eau de Parfum,Parfums de Marly,raspberry bergamot,68,11,7,0,14
Parfums de Marly Delina Extreme,Parfums de Marly,mandarin saffron vanilla praline neroli,40,7,29,20,4
Parfums de Marly Delina Elixir,Parfums de Marly,mandarin mint caramel,20,12,32,36,0
Parfums de Marly Delina Cologne,Parfums de Marly,sage oakmoss pepper grapefruit,23,39,30,6,2
Parfums de Marly Delina Limited Edition,Parfums de Marly,black_pepper ginger oud fig apple coffee,0,34,31,21,14
Parfums de Marly Oriana,Parfums de Marly,cedarwood grapefruit benzoin licorice ambergris,27,46,4,19,4
Parfums de Marly Oriana Intense,Parfums de Marly,patchouli cedarwood oakmoss,11,72,10,1,6
Parfums de Marly Oriana Parfum,Parfums de Marly,vanilla caramel peach blackberry,3,5,7,34,51
Parfums de Marly Oriana Eau de Parfum,Parfums de Marly,mandarin orange oud pepper,67,19,13,0,1
Parfums de Marly Oriana Extreme,Parfums de Marly,black_pepper ginger cedar amberwood coffee,1,33,46,19,1
Parfums de Marly Oriana Elixir,Parfums de Marly,benzoin licorice,6,6,2,79,7
Parfums de Marly Oriana Cologne,Parfums de Marly,lavender peach pepper,0,12,23,7,58
Parfums de Marly Oriana Limited Edition,Parfums de Marly,agarwood amber amberwood papyrus caramel,5,42,8,39,6
